1598497865 31 0
1598499378 83 0
1598504652 199 0
1600267572 201 0
1600485452 226 0
1600487003 228 0
1600492402 277 0
1600494854 403 0
1600495264 406 0
1606637251 411 0
1626006845 507 0
1626013939 568 0
1643703190 897 0
1643719994 897 1
1643723513 897 1
1643724461 897 1
1643727583 966 1
1654262195 984 1
1662476954 998 1
1665071960 1003 1
1693329388 1030 1
1693330671 1054 1
1696002875 1082 1
1716453063 1162 1
1716453094 1188 1
1735120361 1252 1
1735177383 1267 1
1735178871 1280 1
1735179789 1282 1
1735180961 1291 1
1735181063 1291 1
1735181744 1293 1
1735182050 99652 1
1735182820 99657 1
1735182937 99657 1
1735183054 99879 1
1735183463 198604 1
1735183825 198612 1
1735184341 198618 1
1735184875 198630 1
1735184965 198867 1
1735198131 198869 1
1735198149 198869 1
1735198199 198869 1
